Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.630854747585204	37.0	36.0	38.0	35.0	38.0
2	36.51023631614118	37.0	36.0	38.0	35.0	38.0
3	36.583470020047386	37.0	36.0	38.0	35.0	38.0
4	36.62824251260555	37.0	37.0	38.0	35.0	38.0
5	36.57566368993378	37.0	36.0	38.0	35.0	38.0
6	36.54468136808213	37.0	36.0	38.0	35.0	38.0
7	36.5	37.0	36.0	38.0	35.0	38.0
8	36.49167729785554	37.0	36.0	38.0	35.0	38.0
9	36.45695887248648	37.0	36.0	38.0	35.0	38.0
10	36.48490371180366	37.0	36.0	38.0	35.0	38.0
11	36.46944292570318	37.0	36.0	38.0	35.0	38.0
12	36.461120223558716	37.0	36.0	38.0	35.0	38.0
13	36.427586416378105	37.0	35.0	38.0	35.0	38.0
14	36.425976550634836	37.0	35.0	38.0	35.0	38.0
15	36.41176113237349	37.0	35.0	38.0	35.0	38.0
16	36.37114999088755	37.0	35.0	38.0	35.0	38.0
17	36.34675900613571	37.0	35.0	38.0	35.0	38.0
18	36.30885122410546	37.0	35.0	38.0	35.0	38.0
19	36.17930259401008	37.0	35.0	38.0	34.0	38.0
20	36.23822975517891	37.0	35.0	38.0	34.0	38.0
21	36.19017678148351	37.0	35.0	38.0	34.0	38.0
22	36.24154061114149	37.0	35.0	38.0	34.0	38.0
23	36.19862098292935	37.0	35.0	38.0	34.0	38.0
24	36.245428588785614	37.0	35.0	38.0	34.0	38.0
25	36.18817204301075	37.0	35.0	38.0	33.0	38.0
26	36.21626875645465	37.0	35.0	38.0	34.0	38.0
27	36.223497964886704	37.0	35.0	38.0	34.0	38.0
28	36.22644432294514	37.0	35.0	38.0	34.0	38.0
29	36.229907053034445	37.0	35.0	38.0	34.0	38.0
30	36.179059595407324	37.0	35.0	38.0	33.0	38.0
31	36.14889739383999	37.0	35.0	38.0	32.0	38.0
32	36.116821578275925	37.0	35.0	38.0	32.0	38.0
33	36.02794483931717	37.0	35.0	37.0	32.0	38.0
34	35.98295972298159	37.0	35.0	37.0	32.0	38.0
35	36.047232853411096	37.0	35.0	37.0	32.0	38.0
36	36.02779296519045	37.0	35.0	37.0	32.0	38.0
37	36.02469473300528	37.0	35.0	37.0	32.0	38.0
38	35.942439705971694	37.0	35.0	37.0	32.0	38.0
39	35.93800498147136	37.0	35.0	37.0	32.0	38.0
40	35.8977887127149	37.0	35.0	37.0	32.0	38.0
41	35.855780329263105	37.0	35.0	37.0	32.0	38.0
42	35.73406840410668	37.0	35.0	37.0	32.0	38.0
43	35.758094890954375	37.0	35.0	37.0	32.0	38.0
44	35.74946844055647	37.0	35.0	37.0	32.0	38.0
45	35.7133831480469	37.0	35.0	37.0	32.0	38.0
46	35.68060871149991	37.0	35.0	37.0	32.0	38.0
47	35.62055768179333	37.0	35.0	37.0	32.0	38.0
48	35.58061478646498	37.0	35.0	37.0	32.0	38.0
49	35.50692546017861	37.0	35.0	37.0	32.0	38.0
50	35.40161594070834	37.0	35.0	37.0	32.0	38.0
51	35.257092521718	37.0	35.0	37.0	30.0	38.0
