Base	%GC
1	39.36
2	39.160000000000004
3	35.32
4	34.0
5	34.72
6	36.04
7	34.239999999999995
8	35.96
9	35.24
10	37.24
11	35.08
12	35.36
13	39.0
14	34.48
15	37.88
16	36.88
17	37.4
18	37.16
19	38.96
20	38.16
21	36.6
22	37.16
23	34.52
24	37.76
25	36.28
26	35.120000000000005
27	37.32
28	36.199999999999996
29	36.96
30	37.56
31	37.0
32	36.8
33	36.199999999999996
34	37.0
35	36.28
36	35.120000000000005
37	35.8
38	35.52
39	35.480000000000004
40	38.24
41	36.88
42	36.76
43	35.68
44	36.16
45	35.88
46	36.32
47	34.68
48	36.120000000000005
49	36.0
50	35.96
51	38.24
52	37.72
53	33.839999999999996
54	36.120000000000005
55	37.12
56	35.24
57	37.36
58	36.4
59	36.44
60	37.72
61	36.120000000000005
62	36.84
63	37.4
64	39.32
65	35.08
66	34.8
67	36.0
68	36.88
69	37.32
70	36.919999999999995
71	35.120000000000005
72	35.56
73	36.52
74	37.6
75	36.720000000000006
